"Mineral Name","Mineral Name (plain)","Country of Type Locality"
"Beryllosachanbińskiite-Na","Beryllosachanbinskiite-Na","Poland"
"Berzelianite","Berzelianite","Sweden"
"Berzeliite","Berzeliite","Sweden"
"Beshtauite","Beshtauite","Russia"
"Betekhtinite","Betekhtinite","Germany"
"Betpakdalite-CaCa","Betpakdalite-CaCa","Kazakhstan"
"Betpakdalite-CaMg","Betpakdalite-CaMg","Namibia"
"Betpakdalite-FeFe","Betpakdalite-FeFe","Australia"
"Betpakdalite-NaCa","Betpakdalite-NaCa","Kazakhstan"
"Betpakdalite-NaNa","Betpakdalite-NaNa","Chile"
"Bettertonite","Bettertonite","United Kingdom"
"Betzite","Betzite","Germany"
"Beudantite","Beudantite","Germany"
"Beusite","Beusite","Argentina"
"Beusite-(Ca)","Beusite-(Ca)","Canada"
"Beyerite","Beyerite","Germany"
"Bezsmertnovite","Bezsmertnovite","Kazakhstan"
"Biachellaite","Biachellaite","Italy"
"Biagioniite","Biagioniite","Canada"
"Bianchiniite","Bianchiniite","Italy"
"Bianchite","Bianchite","Italy"
"Bicapite","Bicapite","USA"
"Bicchulite","Bicchulite","Japan"
"Bideauxite","Bideauxite","USA"
"Bieberite","Bieberite","Germany"
"Biehlite","Biehlite","Namibia"
"Bigcreekite","Bigcreekite","USA"
"Bijvoetite-(Y)","Bijvoetite-(Y)","Democratic Republic of the Congo"
"Bikitaite","Bikitaite","Zimbabwe"
"Bilibinskite","Bilibinskite","Russia / Kazakhstan"
"Bílinite","Bilinite","Czech Republic"
"Billietite","Billietite","Democratic Republic of the Congo"
"Billingsleyite","Billingsleyite","USA"
"Billwiseite","Billwiseite","Pakistan"
"Bimbowrieite","Bimbowrieite","Australia"
"Bindheimite","Bindheimite","Russia"
"Biphosphammite","Biphosphammite","Australia"
"Biraite-(Ce)","Biraite-(Ce)","Russia"
"Biraite-(La)","Biraite-(La)","Russia"
"Birchite","Birchite","Australia"
"Biringuccite","Biringuccite","Italy"
"Birnessite","Birnessite","United Kingdom"
"Birunite","Birunite","Uzbekistan"
"Bischofite","Bischofite","Germany"
"Bismite","Bismite","Bolivia"
"Bismoclite","Bismoclite","South Africa"
"Bismuth","Bismuth","Germany"
"Bismuthinite","Bismuthinite","?"
"Bismutite","Bismutite","Germany"
"Bismutocolumbite","Bismutocolumbite","Russia"
"Bismutoferrite","Bismutoferrite","Germany"
"Bismutohauchecornite","Bismutohauchecornite","Russia"
"Bismutostibiconite","Bismutostibiconite","Germany"
"Bismutotantalite","Bismutotantalite","Uganda"
"Bitikleite","Bitikleite","Russia"
"Bityite","Bityite","Madagascar"
"Bixbyite-(Fe)","Bixbyite-(Fe)","USA"
"Bixbyite-(Mn)","Bixbyite-(Mn)","India"
"Bjarebyite","Bjarebyite","USA"
"Blakeite","Blakeite","USA"
"Blatonite","Blatonite","USA"
"Blatterite","Blatterite","Sweden"
"Bleasdaleite","Bleasdaleite","Australia"
"Blixite","Blixite","Sweden"
"Blödite","Blodite","Austria"
"Blossite","Blossite","El Salvador"
"Bluebellite","Bluebellite","USA"
"Bluelizardite","Bluelizardite","USA"
"Bluestreakite","Bluestreakite","USA"
"Bobcookite","Bobcookite","USA"
"Bobfergusonite","Bobfergusonite","Canada"
"Bobfinchite","Bobfinchite","USA"
"Bobierrite","Bobierrite","Chile"
"Bobjonesite","Bobjonesite","USA"
"Bobkingite","Bobkingite","United Kingdom"
"Bobmeyerite","Bobmeyerite","USA"
"Bobshannonite","Bobshannonite","Canada"
"Bobtraillite","Bobtraillite","Canada"
"Bodieite","Bodieite","USA"
"Bogdanovite","Bogdanovite","Kazakhstan / Russia"
"Bøggildite","Boggildite","Denmark (Greenland)"
"Boggsite","Boggsite","USA"
"Bøgvadite","Bogvadite","Denmark (Greenland)"
"Bohdanowiczite","Bohdanowiczite","Poland"
"Böhmite","Bohmite","France"
"Bohseite","Bohseite","Denmark (Greenland)"
"Bohuslavite","Bohuslavite","Italy / Czech Republic"
"Bojarite","Bojarite","Chile"
"Bokite","Bokite","Kazakhstan"
"Boleite","Boleite","Mexico"
