"Mineral Name","Mineral Name (plain)","Country of Type Locality"
"Bolivarite","Bolivarite","Spain"
"Bolotinaite","Bolotinaite","Germany"
"Boltwoodite","Boltwoodite","USA"
"Bonaccordite","Bonaccordite","South Africa"
"Bonacinaite","Bonacinaite","Italy"
"Bonattite","Bonattite","Italy"
"Bonazziite","Bonazziite","Kyrgyzstan"
"Bonshtedtite","Bonshtedtite","Russia"
"Boojumite","Boojumite","USA"
"Boothite","Boothite","USA"
"Boracite","Boracite","Germany"
"Boralsilite","Boralsilite","Antarctica"
"Borax","Borax","unknown"
"Borcarite","Borcarite","Russia"
"Borisenkoite","Borisenkoite","Russia"
"Bornemanite","Bornemanite","Russia"
"Bornhardtite","Bornhardtite","Germany"
"Bornite","Bornite","?"
"Borocookeite","Borocookeite","Russia"
"Borodaevite","Borodaevite","Russia"
"Boromullite","Boromullite","Australia"
"Boromuscovite","Boromuscovite","USA"
"Borovskite","Borovskite","Russia"
"Bortnikovite","Bortnikovite","Russia"
"Bortolanite","Bortolanite","Brazil"
"Borzęckiite","Borzeckiite","Poland"
"Boscardinite","Boscardinite","Italy"
"Bosiite","Bosiite","Russia"
"Bosoite","Bosoite","Japan"
"Bostwickite","Bostwickite","USA"
"Botallackite","Botallackite","United Kingdom"
"Botryogen","Botryogen","Sweden"
"Bottinoite","Bottinoite","Italy"
"Botuobinskite","Botuobinskite","Russia"
"Bouazzerite","Bouazzerite","Morocco"
"Boulangerite","Boulangerite","France"
"Bounahasite","Bounahasite","Morocco"
"Bournonite","Bournonite","United Kingdom"
"Bouškaite","Bouskaite","Czech Republic"
"Boussingaultite","Boussingaultite","Italy"
"Bowieite","Bowieite","USA"
"Bowlesite","Bowlesite","South Africa"
"Boyleite","Boyleite","Germany"
"Braccoite","Braccoite","Italy"
"Bracewellite","Bracewellite","Guyana"
"Brackebuschite","Brackebuschite","Argentina"
"Bradaczekite","Bradaczekite","Russia"
"Bradleyite","Bradleyite","USA"
"Braggite","Braggite","South Africa"
"Braithwaiteite","Braithwaiteite","Bolivia"
"Braitschite-(Ce)","Braitschite-(Ce)","USA"
"Branchite","Branchite","Italy"
"Brandãoite","Brandaoite","Brazil"
"Brandholzite","Brandholzite","Germany"
"Brandtite","Brandtite","Sweden"
"Brannerite","Brannerite","USA"
"Brannockite","Brannockite","USA"
"Brassite","Brassite","Czech Republic"
"Brattforsite","Brattforsite","Sweden"
"Braunerite","Braunerite","Czech Republic"
"Braunite","Braunite","Germany / Italy"
"Brazilianite","Brazilianite","Brazil"
"Bredigite","Bredigite","United Kingdom"
"Breithauptite","Breithauptite","Germany"
"Brendelite","Brendelite","Germany"
"Brenkite","Brenkite","Germany"
"Brewsterite-Ba","Brewsterite-Ba","USA / Italy"
"Brewsterite-Sr","Brewsterite-Sr","United Kingdom"
"Breyite","Breyite","Brazil"
"Brezinaite","Brezinaite","USA"
"Brianite","Brianite","USA"
"Brianroulstonite","Brianroulstonite","Canada"
"Brianyoungite","Brianyoungite","United Kingdom"
"Briartite","Briartite","Democratic Republic of the Congo"
"Bridgesite-(Ce)","Bridgesite-(Ce)","United Kingdom"
"Bridgmanite","Bridgmanite","Australia (meteorite)"
"Brindleyite","Brindleyite","Greece"
"Brinrobertsite","Brinrobertsite","United Kingdom"
"Britholite-(Ce)","Britholite-(Ce)","Denmark (Greenland)"
"Britholite-(Y)","Britholite-(Y)","Japan"
"Britvinite","Britvinite","Sweden"
"Brizziite","Brizziite","Italy"
"Brochantite","Brochantite","Russia"
"Brockite","Brockite","USA"
"Brodtkorbite","Brodtkorbite","Argentina"
"Bromargyrite","Bromargyrite","Mexico"
"Bromellite","Bromellite","Sweden"
"Brontesite","Brontesite","Italy"
"Brookite","Brookite","United Kingdom"
"Browneite","Browneite","Poland (meteorite)"
"Brownleeite","Brownleeite","IDP (interplanetary dust particle) over USA"
"Brownmillerite","Brownmillerite","Germany"
"Brucite","Brucite","USA"
"Brüggenite","Bruggenite","Chile"
"Brugnatellite","Brugnatellite","Italy"
"Brumadoite","Brumadoite","Brazil"
"Brunogeierite","Brunogeierite","Namibia"
"Brushite","Brushite","Venezuela"
"Bubnovaite","Bubnovaite","Russia"
"Buchwaldite","Buchwaldite","Denmark (Greenland)"
"Buckhornite","Buckhornite","USA"
"Buddingtonite","Buddingtonite","USA"
"Bukovite","Bukovite","Czech Republic"
"Bukovskýite","Bukovskyite","Czech Republic"
"Bulachite","Bulachite","Germany"
"Bulgakite","Bulgakite","Tajikistan"
"Bultfonteinite","Bultfonteinite","South Africa"
"Bunnoite","Bunnoite","Japan"
"Bunsenite","Bunsenite","Germany"
"Burangaite","Burangaite","Rwanda"
"Burbankite","Burbankite","USA"
"Burckhardtite","Burckhardtite","Mexico"
"Burgessite","Burgessite","Canada"
"Burkeite","Burkeite","USA"
"Burnettite","Burnettite","Mexico (meteorite)"
"Burnsite","Burnsite","Russia"
"Burovaite-Ca","Burovaite-Ca","Russia"
"Burpalite","Burpalite","Russia"
"Burroite","Burroite","USA"
"Burtite","Burtite","Morocco"
"Buryatite","Buryatite","Russia"
"Buseckite","Buseckite","Poland (meteorite)"
"Buserite","Buserite","Japan"
"Bushmakinite","Bushmakinite","Russia"
"Bussenite","Bussenite","Russia"
"Bussyite-(Ce)","Bussyite-(Ce)","Canada"
"Bussyite-(Y)","Bussyite-(Y)","Canada"
"Bustamite","Bustamite","USA"
"Butianite","Butianite","Mexico (meteorite)"
"Butlerite","Butlerite","USA"
"Bütschliite","Butschliite","USA"
"Buttgenbachite","Buttgenbachite","Democratic Republic of the Congo"
"Buynite","Buynite","Switzerland"
"Byelorussite-(Ce)","Byelorussite-(Ce)","Belarus"
"Bykovaite","Bykovaite","Russia"
"Byrudite","Byrudite","Norway"
"Bystrite","Bystrite","Russia"
"Byströmite","Bystromite","Mexico"
"Bytízite","Bytizite","Czech Republic"
"Byzantievite","Byzantievite","Tajikistan"
"Cabalzarite","Cabalzarite","Switzerland"
"Cabriite","Cabriite","Russia"
"Cabvinite","Cabvinite","Italy"
"Cacoxenite","Cacoxenite","Czech Republic"
"Cadmium","Cadmium","Russia"
"Cadmoindite","Cadmoindite","Russia"
"Cadmoselite","Cadmoselite","Russia"
"Cadwaladerite","Cadwaladerite","Chile"
"Caesiumpharmacosiderite","Caesiumpharmacosiderite","Chile"
"Cafarsite","Cafarsite","Switzerland"
"Cafetite","Cafetite","Russia"
"Cahnite","Cahnite","USA"
"Cairncrossite","Cairncrossite","South Africa"
"Calamaite","Calamaite","Chile"
"Calaverite","Calaverite","USA"
"Calciborite","Calciborite","Russia"
"Calcinaksite","Calcinaksite","Germany"
"Calcioancylite-(Ce)","Calcioancylite-(Ce)","Russia"
"Calcioancylite-(La)","Calcioancylite-(La)","China"
"Calcioancylite-(Nd)","Calcioancylite-(Nd)","Italy"
"Calcioandyrobertsite","Calcioandyrobertsite","Namibia"
"Calcioaravaipaite","Calcioaravaipaite","USA"
"Calcioburbankite","Calcioburbankite","Canada"
"Calciocatapleiite","Calciocatapleiite","Russia"
"Calciocopiapite","Calciocopiapite","Azerbaijan"
"Calciodelrioite","Calciodelrioite","USA"
"Calcioferrite","Calcioferrite","Germany"
"Calciohatertite","Calciohatertite","Russia"
"Calciohilairite","Calciohilairite","USA"
"Calciojohillerite","Calciojohillerite","Russia"
"Calciolangbeinite","Calciolangbeinite","Russia"
"Calciomurmanite","Calciomurmanite","Russia"
"Calcio-olivine","Calcio-olivine","Germany / Russia"
"Calciopetersite","Calciopetersite","Czech Republic"
"Calciosamarskite","Calciosamarskite","Canada"
"Calciotantite","Calciotantite","Russia"
"Calciouranoite","Calciouranoite","Russia"
"Calcioursilite","Calcioursilite","Tajikistan"
"Calcioveatchite","Calcioveatchite","Russia"
"Calcite","Calcite","unknown"
"Calcjarlite","Calcjarlite","Russia"
"Calclacite","Calclacite","Belgium"
"Calcurmolite","Calcurmolite","Armenia"
"Calcybeborosilite-(Y)","Calcybeborosilite-(Y)","Tajikistan"
"Calderite","Calderite","India (or unknown)"
"Calderónite","Calderonite","Spain"
"Caledonite","Caledonite","United Kingdom"
"Calkinsite-(Ce)","Calkinsite-(Ce)","USA"
"Callaghanite","Callaghanite","USA"
"Calomel","Calomel","Germany / Slovenia / Spain / Czech Republic"
"Calumetite","Calumetite","USA"
"Calvertite","Calvertite","Namibia"
"Calzirtite","Calzirtite","Russia"
"Camanchacaite","Camanchacaite","Chile"
"Cámaraite","Camaraite","Kazakhstan"
"Camaronesite","Camaronesite","Chile"
"Camérolaite","Camerolaite","France"
"Cameronite","Cameronite","USA"
"Camgasite","Camgasite","Germany"
"Caminite","Caminite","Pacific Ocean"
"Campigliaite","Campigliaite","Italy"
"Campostriniite","Campostriniite","Italy"
"Canaphite","Canaphite","USA"
"Canasite","Canasite","Russia"
"Canavesite","Canavesite","Italy"
"Cancrinite","Cancrinite","Russia"
"Cancrisilite","Cancrisilite","Russia"
"Canfieldite","Canfieldite","Bolivia"
"Cannizzarite","Cannizzarite","Italy"
"Cannonite","Cannonite","USA"
"Canosioite","Canosioite","Italy"
"Canutite","Canutite","Chile"
"Caoxite","Caoxite","Italy"
"Capgaronnite","Capgaronnite","France"
"Cappelenite-(Y)","Cappelenite-(Y)","Norway"
"Capranicaite","Capranicaite","Italy"
"Caracolite","Caracolite","Chile"
"Carboborite","Carboborite","China"
"Carbobystrite","Carbobystrite","Russia"
"Carbocalumite","Carbocalumite","Israel"
"Carbocernaite","Carbocernaite","Russia"
"Carboirite","Carboirite","France"
"Carbokentbrooksite","Carbokentbrooksite","Tajikistan"
"Carbonatecyanotrichite","Carbonatecyanotrichite","Kazakhstan"
"Cardite","Cardite","Australia"
"Carducciite","Carducciite","Italy"
"Caresite","Caresite","Canada"
"Carletonite","Carletonite","Canada"
"Carletonmooreite","Carletonmooreite","USA (meteorite)"
"Carlfrancisite","Carlfrancisite","Namibia"
"Carlfriesite","Carlfriesite","Mexico"
"Carlgieseckeite-(Nd)","Carlgieseckeite-(Nd)","Denmark (Greenland)"
"Carlhintzeite","Carlhintzeite","Germany"
"Carlinite","Carlinite","USA"
"Carlosbarbosaite","Carlosbarbosaite","Brazil"
"Carlosruizite","Carlosruizite","Chile"
"Carlosturanite","Carlosturanite","Italy"
"Carlsbergite","Carlsbergite","Denmark (Greenland)"
"Carlsonite","Carlsonite","USA"
"Carmeltazite","Carmeltazite","Israel"
"Carmichaelite","Carmichaelite","USA"
"Carminite","Carminite","Germany"
"Carnallite","Carnallite","Germany"
"Carnotite","Carnotite","USA"
"Carobbiite","Carobbiite","Italy"
"Carpathite","Carpathite","Ukraine"
"Carpholite","Carpholite","Czech Republic"
"Carraraite","Carraraite","Italy"
"Carrboydite","Carrboydite","Australia"
"Carrollite","Carrollite","USA"
"Caryinite","Caryinite","Sweden"
"Caryochroite","Caryochroite","Russia"
"Caryopilite","Caryopilite","Sweden"
"Cascandite","Cascandite","Italy"
"Caseyite","Caseyite","USA"
"Cassagnaite","Cassagnaite","Italy"
"Cassedanneite","Cassedanneite","Russia"
"Cassidyite","Cassidyite","Australia"
"Cassiterite","Cassiterite","United Kingdom"
"Castellaroite","Castellaroite","Italy"
"Caswellsilverite","Caswellsilverite","USA"
"Catalanoite","Catalanoite","Argentina"
"Catamarcaite","Catamarcaite","Argentina"
"Catapleiite","Catapleiite","Norway"
"Cattierite","Cattierite","Democratic Republic of the Congo"
"Cattiite","Cattiite","Russia"
"Cavansite","Cavansite","USA"
"Cavoite","Cavoite","Italy"
"Cayalsite-(Y)","Cayalsite-(Y)","Norway"
"Caysichite-(Y)","Caysichite-(Y)","Canada"
"Cebaite-(Ce)","Cebaite-(Ce)","China"
"Cebollite","Cebollite","USA"
"Čechite","Cechite","Czech Republic"
"Čejkaite","Cejkaite","Czech Republic"
"Celadonite","Celadonite","Italy"
"Celestine","Celestine","USA"
"Celleriite","Celleriite","Italy"
"Celsian","Celsian","Sweden"
"Centennialite","Centennialite","USA"
"Cerchiaraite-(Al)","Cerchiaraite-(Al)","USA"
"Cerchiaraite-(Fe)","Cerchiaraite-(Fe)","Italy / USA"
"Cerchiaraite-(Mn)","Cerchiaraite-(Mn)","Italy"
"Cerianite-(Ce)","Cerianite-(Ce)","Canada"
"Cerite-(CeCa)","Cerite-(CeCa)","Sweden"
"Cerium","Cerium","Moon"
"Černýite","Cernyite","Canada"
"Cerromojonite","Cerromojonite","Bolivia"
"Ceruleite","Ceruleite","Chile"
"Cerussite","Cerussite","Italy"
"Cervandonite-(Ce)","Cervandonite-(Ce)","Italy / Switzerland"
"Cervantite","Cervantite","Spain"
"Cervelleite","Cervelleite","Mexico"
"Cesanite","Cesanite","Italy"
"Césarferreiraite","Cesarferreiraite","Brazil"
"Cesàrolite","Cesarolite","Tunisia"
"Cesbronite","Cesbronite","Mexico"
"Cesiodymite","Cesiodymite","Russia"
"Cesiokenopyrochlore","Cesiokenopyrochlore","Madagascar"
"Cesplumtantite","Cesplumtantite","Democratic Republic of the Congo"
"Cetineite","Cetineite","Italy"
"Chabazite-Ca","Chabazite-Ca","Italy"
"Chabazite-K","Chabazite-K","Italy"
"Chabazite-Mg","Chabazite-Mg","Hungary"
"Chabazite-Na","Chabazite-Na","Italy"
"Chabazite-Sr","Chabazite-Sr","Russia"
"Chabournéite","Chabourneite","France"
"Chadwickite","Chadwickite","Germany"
"Chaidamuite","Chaidamuite","China"
"Chalcanthite","Chalcanthite","unknown"
"Chalcoalumite","Chalcoalumite","USA"
"Chalcocite","Chalcocite","?"
"Chalcocyanite","Chalcocyanite","Italy"
"Chalcomenite","Chalcomenite","Argentina"
"Chalconatronite","Chalconatronite","Egypt"
"Chalcophanite","Chalcophanite","USA"
"Chalcophyllite","Chalcophyllite","United Kingdom"
"Chalcopyrite","Chalcopyrite","?"
"Chalcosiderite","Chalcosiderite","United Kingdom"
"Chalcostibite","Chalcostibite","Germany"
"Chalcothallite","Chalcothallite","Denmark (Greenland)"
"Challacolloite","Challacolloite","Chile"
"Chambersite","Chambersite","USA"
"Chaméanite","Chameanite","France"
"Chamosite","Chamosite","Switzerland"
"Chanabayaite","Chanabayaite","Chile"
"Changbaiite","Changbaiite","China"
"Changchengite","Changchengite","China"
"Changesite-(Y)","Changesite-(Y)","Moon"
"Changoite","Changoite","Chile"
"Chantalite","Chantalite","Turkey"
"Chaoite","Chaoite","Germany"
"Chapmanite","Chapmanite","Canada"
"Charleshatchettite","Charleshatchettite","Canada"
"Charlesite","Charlesite","USA"
"Charmarite","Charmarite","Canada"
"Charoite","Charoite","Russia"
"Chatkalite","Chatkalite","Uzbekistan"
"Chayesite","Chayesite","USA"
"Chegemite","Chegemite","Russia"
"Chekhovichite","Chekhovichite","Armenia / Kazakhstan"
"Chelkarite","Chelkarite","Kazakhstan"
"Chenevixite","Chenevixite","United Kingdom"
"Chengdeite","Chengdeite","China"
"Chenguodaite","Chenguodaite","China"
"Chenite","Chenite","United Kingdom"
"Chenmingite","Chenmingite","Morocco (meteorite)"
"Chenowethite","Chenowethite","USA"
"Cheralite","Cheralite","India"
"Cheremnykhite","Cheremnykhite","Russia"
"Cherepanovite","Cherepanovite","Russia"
"Chernikovite","Chernikovite","Tajikistan"
"Chernovite-(Y)","Chernovite-(Y)","Russia"
"Chernykhite","Chernykhite","Kazakhstan"
"Cherokeeite","Cherokeeite","USA"
"Chervetite","Chervetite","Gabon"
"Chesnokovite","Chesnokovite","Russia"
"Chessexite","Chessexite","France"
"Chesterite","Chesterite","USA"
"Chestermanite","Chestermanite","USA"
"Chevkinite-(Ce)","Chevkinite-(Ce)","Russia"
"Chiappinoite-(Y)","Chiappinoite-(Y)","Portugal"
"Chiavennite","Chiavennite","Italy"
"Chibaite","Chibaite","Japan"
"Chihmingite","Chihmingite","Norway"
"Chihuahuaite","Chihuahuaite","Mexico (meteorite)"
"Childrenite","Childrenite","United Kingdom"
"Chiluite","Chiluite","China"
"Chinchorroite","Chinchorroite","Chile"
"Chinleite-(Nd)","Chinleite-(Nd)","USA"
"Chinleite-(Y)","Chinleite-(Y)","USA"
"Chiolite","Chiolite","Russia"
"Chirvinskyite","Chirvinskyite","Russia"
"Chistyakovaite","Chistyakovaite","Kazakhstan"
"Chivruaiite","Chivruaiite","Russia"
"Chiyokoite","Chiyokoite","Japan"
"Chkalovite","Chkalovite","Russia"
"Chladniite","Chladniite","USA"
"Chloraluminite","Chloraluminite","Italy"
"Chlorapatite","Chlorapatite","Austria / Germany / Spain / Switzerland"
"Chlorargyrite","Chlorargyrite","Germany"
"Chlorartinite","Chlorartinite","Russia"
"Chlorbartonite","Chlorbartonite","Russia"
"Chlorellestadite","Chlorellestadite","Georgia"
"Chloritoid","Chloritoid","Russia"
"Chlorkyuygenite","Chlorkyuygenite","Russia"
"Chlormagaluminite","Chlormagaluminite","Russia"
"Chlormanganokalite","Chlormanganokalite","Italy"
"Chlormayenite","Chlormayenite","Germany"
"Chlorocalcite","Chlorocalcite","Italy"
"Chloromagnesite","Chloromagnesite","Italy"
"Chloromenite","Chloromenite","Russia"
"Chlorophoenicite","Chlorophoenicite","USA"
"Chlorothionite","Chlorothionite","Italy"
"Chloroxiphite","Chloroxiphite","United Kingdom"
"Choloalite","Choloalite","Mexico"
"Chondrodite","Chondrodite","Finland"
"Chongite","Chongite","Chile"
"Chopinite","Chopinite","Antarctica"
"Chovanite","Chovanite","Slovakia"
"Chrisstanleyite","Chrisstanleyite","United Kingdom"
"Christelite","Christelite","Chile"
"Christite","Christite","USA"
"Christofschäferite-(Ce)","Christofschaferite-(Ce)","Germany"
"Chromatite","Chromatite","Jordan"
"Chrombismite","Chrombismite","China"
"Chromceladonite","Chromceladonite","Russia"
"Chromferide","Chromferide","Russia"
"Chromio-pargasite","Chromio-pargasite","Japan"
"Chromite","Chromite","France"
"Chromium","Chromium","China"
"Chromium-dravite","Chromium-dravite","Russia"
"Chromo-alumino-povondraite","Chromo-alumino-povondraite","Russia"
"Chromphyllite","Chromphyllite","Russia"
"Chromschieffelinite","Chromschieffelinite","USA"
"Chrysoberyl","Chrysoberyl","Brazil"
"Chrysocolla","Chrysocolla","unknown"
"Chrysothallite","Chrysothallite","Russia"
"Chrysotile","Chrysotile","Poland"
"Chubarovite","Chubarovite","Russia"
"Chudobaite","Chudobaite","Namibia"
"Chukanovite","Chukanovite","Russia (meteorite)"
"Chukhrovite-(Ca)","Chukhrovite-(Ca)","Italy"
"Chukhrovite-(Ce)","Chukhrovite-(Ce)","Russia"
"Chukhrovite-(Nd)","Chukhrovite-(Nd)","Kazakhstan"
"Chukhrovite-(Y)","Chukhrovite-(Y)","Kazakhstan"
"Chukochenite","Chukochenite","China"
"Chukotkaite","Chukotkaite","Russia"
"Churchite-(Y)","Churchite-(Y)","United Kingdom"
"Chursinite","Chursinite","Kyrgyzstan"
"Chvaleticeite","Chvaleticeite","Czech Republic"
"Chvilevaite","Chvilevaite","Russia"
"Cianciulliite","Cianciulliite","USA"
"Cinnabar","Cinnabar","unknown"
"Ciprianiite","Ciprianiite","Italy"
"Ciriottiite","Ciriottiite","Italy"
"Cirrolite","Cirrolite","Sweden"
"Clairite","Clairite","South Africa"
"Claraite","Claraite","Germany"
"Claringbullite","Claringbullite","Zambia"
"Clarkeite","Clarkeite","USA"
"Claudetite","Claudetite","Portugal"
"Clausthalite","Clausthalite","Germany"
"Clearcreekite","Clearcreekite","USA"
"Clerite","Clerite","Russia"
"Cleusonite","Cleusonite","Switzerland"
"Cliffordite","Cliffordite","Mexico"
"Clinoatacamite","Clinoatacamite","Chile"
"Clinobehoite","Clinobehoite","Russia"
"Clinobisvanite","Clinobisvanite","Australia"
"Clinocervantite","Clinocervantite","Italy"
"Clinochlore","Clinochlore","USA"
"Clinoclase","Clinoclase","United Kingdom"
"Clinoenstatite","Clinoenstatite","Romania (meteorite)"
"Clinofergusonite-(Ce)","Clinofergusonite-(Ce)","China"
"Clinofergusonite-(Nd)","Clinofergusonite-(Nd)","China"
"Clinofergusonite-(Y)","Clinofergusonite-(Y)","Tajikistan"
"Clino-ferri-holmquistite","Clino-ferri-holmquistite","Spain"
"Clino-ferro-ferri-holmquistite","Clino-ferro-ferri-holmquistite","Spain"
"Clinoferrosilite","Clinoferrosilite","Kenya"
"Clinohedrite","Clinohedrite","USA"
"Clinohumite","Clinohumite","Italy"
"Clinojimthompsonite","Clinojimthompsonite","USA"
"Clinokurchatovite","Clinokurchatovite","Kazakhstan"
"Clinometaborite","Clinometaborite","Italy"
"Clino-oscarkempffite","Clino-oscarkempffite","Bolivia"
"Clinophosinaite","Clinophosinaite","Russia"
"Clinoptilolite-Ca","Clinoptilolite-Ca","Japan"
"Clinoptilolite-K","Clinoptilolite-K","USA"
"Clinoptilolite-Na","Clinoptilolite-Na","USA"
"Clinosafflorite","Clinosafflorite","Canada"
"Clino-suenoite","Clino-suenoite","Italy"
"Clinosulphur","Clinosulphur","Italy"
"Clinotobermorite","Clinotobermorite","Japan"
"Clinoungemachite","Clinoungemachite","Chile"
"Clinozoisite","Clinozoisite","Austria"
"Clintonite","Clintonite","USA"
"Cloncurryite","Cloncurryite","Australia"
"Cloudite","Cloudite","Australia"
"Coalingite","Coalingite","USA"
"Cobaltarthurite","Cobaltarthurite","Spain"
"Cobaltaustinite","Cobaltaustinite","Australia"
"Cobaltite","Cobaltite","unknown"
"Cobaltkieserite","Cobaltkieserite","Sweden"
"Cobaltkoritnigite","Cobaltkoritnigite","Germany"
"Cobaltlotharmeyerite","Cobaltlotharmeyerite","Germany"
"Cobaltneustädtelite","Cobaltneustadtelite","Germany"
